imgpath,label
dataset/img/00000000.png,0
dataset/img/00000001.png,0
dataset/img/00000002.png,0
dataset/img/00000003.png,0
dataset/img/00000004.png,0
dataset/img/00000005.png,0
dataset/img/00000006.png,0
dataset/img/00000007.png,0
dataset/img/00000008.png,0
dataset/img/00000009.png,0
dataset/img/00000010.png,0
dataset/img/00000011.png,0
dataset/img/00000012.png,0
dataset/img/00000013.png,0
dataset/img/00000014.png,0
dataset/img/00000015.png,0
dataset/img/00000016.png,0
dataset/img/00000017.png,0
dataset/img/00000018.png,0
dataset/img/00000019.png,0
dataset/img/00000020.png,0
dataset/img/00000021.png,0
dataset/img/00000022.png,0
dataset/img/00000023.png,0
dataset/img/00000024.png,0
dataset/img/00000025.png,0
dataset/img/00000026.png,0
dataset/img/00000027.png,0
dataset/img/00000028.png,0
dataset/img/00000029.png,0
dataset/img/00000030.png,0
dataset/img/00000031.png,0
dataset/img/00000032.png,0
dataset/img/00000033.png,0
dataset/img/00000034.png,0
dataset/img/00000035.png,0
dataset/img/00000036.png,0
dataset/img/00000037.png,0
dataset/img/00000038.png,0
dataset/img/00000039.png,0
dataset/img/00000040.png,0
dataset/img/00000041.png,0
dataset/img/00000042.png,0
dataset/img/00000043.png,0
dataset/img/00000044.png,0
dataset/img/00000045.png,0
dataset/img/00000046.png,0
dataset/img/00000047.png,0
dataset/img/00000048.png,0
dataset/img/00000049.png,0
dataset/img/00000050.png,0
dataset/img/00000051.png,0
dataset/img/00000052.png,0
dataset/img/00000053.png,0
dataset/img/00000054.png,0
dataset/img/00000055.png,0
dataset/img/00000056.png,0
dataset/img/00000057.png,0
dataset/img/00000058.png,0
dataset/img/00000059.png,0
dataset/img/00000060.png,0
dataset/img/00000061.png,0
dataset/img/00000062.png,0
dataset/img/00000063.png,0
dataset/img/00000064.png,0
dataset/img/00000065.png,0
dataset/img/00000066.png,0
dataset/img/00000067.png,0
dataset/img/00000068.png,0
dataset/img/00000069.png,0
dataset/img/00000070.png,0
dataset/img/00000071.png,0
dataset/img/00000072.png,0
dataset/img/00000073.png,0
dataset/img/00000074.png,0
dataset/img/00000075.png,0
dataset/img/00000076.png,0
dataset/img/00000077.png,0
dataset/img/00000078.png,0
dataset/img/00000079.png,0
dataset/img/00000080.png,0
dataset/img/00000081.png,0
dataset/img/00000082.png,0
dataset/img/00000083.png,0
dataset/img/00000084.png,0
dataset/img/00000085.png,0
